data1	d1	d2	d3	d4	d5	pi5		data1	d1	d2	d3	pi3
	3.96 	1.71 	2.56 	3.30 	4.19 	3.54 			19.84 	16.98 	2.77 	13.56 
data7	4.48 	2.60 	2.35 	16.47 	2.45 	11.30 		data7	16.67 	12.49 	9.77 	15.86 
	7.93 	1.48 	6.58 	14.93 	11.74 	9.85 			12.92 	8.81 	0.06 	7.79 
	0.12 	16.90 	4.72 	12.40 	13.37 	10.21 			12.58 	4.52 	16.92 	12.86 
	19.33 	7.18 	9.30 	8.01 	4.39 	14.24 			3.62 	13.57 	11.36 	10.31 
	0.42 	10.55 	7.36 	15.82 	7.29 	9.74 			14.64 	6.91 	2.84 	10.49 
	15.21 	1.62 	7.97 	13.39 	8.77 	10.10 			16.86 	13.64 	1.27 	10.88 
	15.98 	15.01 	2.47 	15.63 	16.86 	11.60 			14.74 	19.18 	3.16 	13.40 
	4.51 	7.13 	18.78 	11.59 	9.94 	13.98 			15.17 	11.14 	6.95 	13.27 
	16.13 	12.22 	1.00 	3.41 	5.39 	10.28 			11.87 	3.54 	3.76 	9.25 
	5.99 	6.56 	14.77 	8.91 	8.58 	12.46 			18.58 	3.41 	13.19 	13.19 
data8	3.65 	9.13 	4.17 	3.20 	16.89 	12.06 		data8	16.34 	9.68 	13.02 	15.62 
	7.53 	5.63 	16.64 	13.73 	0.38 	10.21 			8.13 	12.15 	9.15 	12.17 
	7.10 	7.65 	15.61 	12.55 	7.56 	13.63 			11.30 	10.06 	12.50 	13.53 
	6.93 	2.62 	16.84 	2.57 	13.87 	11.65 			19.02 	11.16 	0.57 	11.75 
	0.86 	0.02 	11.33 	10.67 	5.15 	6.81 			0.15 	13.61 	3.45 	8.26 
	2.32 	9.77 	19.71 	3.98 	14.79 	13.22 			9.58 	13.88 	3.19 	10.24 
	5.99 	14.45 	1.20 	11.67 	11.78 	9.39 			10.50 	2.70 	4.61 	7.92 
	10.32 	7.97 	10.52 	6.37 	2.89 	8.04 			17.97 	15.25 	7.13 	15.06 
	18.05 	19.58 	6.54 	16.66 	19.37 	15.67 			7.54 	14.34 	1.98 	9.79 
	12.44 	18.63 	8.71 	4.20 	15.81 	13.69 			6.00 	3.96 	11.37 	9.20 
data9	5.65 	14.94 	0.03 	13.20 	11.26 	8.98 		data9	13.79 	12.01 	4.82 	11.17 
	3.59 	14.69 	10.13 	17.70 	16.24 	12.78 			5.59 	14.55 	3.59 	10.88 
	16.64 	2.19 	2.41 	16.77 	19.33 	12.91 			11.45 	12.57 	13.18 	14.77 
	4.03 	11.22 	11.04 	17.74 	3.44 	12.71 			7.04 	15.09 	17.27 	14.58 
	3.07 	12.94 	10.38 	4.60 	19.92 	13.80 			10.73 	14.01 	4.90 	11.34 
	13.50 	1.47 	10.87 	5.03 	19.75 	12.73 			8.32 	15.01 	19.09 	16.44 
	8.44 	17.70 	7.06 	13.64 	5.80 	14.10 			14.83 	5.27 	16.13 	12.84 
	6.20 	7.67 	12.51 	18.40 	1.45 	11.91 			10.10 	0.46 	10.45 	6.55 
	2.53 	7.52 	4.39 	10.60 	3.90 	7.87 			17.39 	18.29 	13.77 	19.24 
	2.98 	18.67 	15.10 	9.63 	6.07 	12.99 			0.16 	12.71 	3.16 	7.72 
data10	9.87 	9.87 	17.66 	7.12 	18.80 	15.55 		data10	8.67 	15.40 	11.81 	14.45 
	12.64 	7.71 	16.51 	0.93 	8.18 	10.46 			17.18 	5.84 	7.67 	13.81 
	16.46 	19.97 	8.66 	14.50 	19.48 	17.18 			12.26 	3.16 	14.95 	10.86 
	3.38 	18.01 	6.44 	5.16 	5.05 	12.83 			4.47 	0.83 	1.67 	3.19 
	12.32 	16.86 	4.59 	7.65 	7.74 	12.87 			5.92 	0.02 	4.49 	3.56 
	0.70 	19.23 	14.47 	8.15 	17.06 	11.95 			5.85 	5.69 	0.67 	3.91 
	10.56 	12.17 	8.30 	1.14 	11.55 	7.98 			7.86 	19.62 	11.67 	16.48 
	13.68 	14.16 	0.10 	10.41 	1.37 	8.56 			16.78 	16.88 	4.47 	12.81 
	15.64 	18.16 	16.37 	8.36 	4.18 	13.41 			7.02 	4.87 	12.28 	10.29 
	13.39 	2.52 	5.13 	11.65 	0.56 	8.37 			8.31 	13.47 	16.27 	14.75 
data11	2.81 	3.52 	1.13 	10.52 	2.90 	6.99 		data11	19.78 	6.97 	17.41 	16.05 
	18.96 	7.22 	11.57 	13.64 	17.71 	15.71 			19.88 	1.78 	18.13 	12.99 
	4.66 	16.16 	2.04 	8.69 	2.40 	10.92 			17.28 	7.23 	7.71 	14.71 
	11.85 	1.13 	16.18 	7.23 	1.76 	10.39 			1.44 	14.58 	19.09 	12.32 
	7.79 	16.53 	1.54 	12.51 	2.45 	10.84 			16.46 	6.11 	19.91 	15.61 
	1.81 	8.70 	6.23 	11.18 	7.72 	7.80 			11.93 	19.91 	9.11 	17.41 
	6.88 	16.73 	16.23 	4.68 	1.59 	10.99 			4.17 	19.58 	3.98 	14.14 
	9.34 	6.79 	4.57 	16.23 	19.44 	14.41 			0.69 	10.61 	8.87 	6.77 
	3.67 	4.26 	9.53 	18.42 	5.42 	13.25 			5.91 	15.28 	1.51 	10.07 
	15.40 	2.85 	16.09 	2.23 	5.08 	10.99 			5.32 	8.73 	0.40 	5.48 
	15.67 	4.67 	6.47 	6.61 	4.94 	12.20 			9.80 	3.70 	15.84 	11.72 
data12	10.39 	0.52 	4.89 	17.60 	6.75 	10.87 		data12	5.66 	15.82 	4.94 	12.45 
	10.16 	1.72 	19.13 	14.30 	3.01 	12.51 			18.55 	4.68 	19.73 	14.64 
	18.57 	15.27 	13.04 	18.15 	14.37 	18.97 			0.60 	10.01 	19.25 	11.91 
	11.18 	0.75 	18.64 	0.89 	1.12 	11.64 			1.98 	4.08 	3.53 	3.64 
	12.62 	2.81 	8.48 	5.65 	5.53 	9.26 			6.80 	3.73 	2.68 	5.69 
	16.66 	16.61 	8.29 	18.35 	12.74 	15.98 			2.61 	11.60 	2.11 	8.22 
	19.90 	2.75 	12.15 	19.34 	2.85 	13.59 			14.49 	7.70 	7.19 	13.01 
	3.87 	19.47 	19.93 	18.82 	7.30 	14.28 			15.23 	13.55 	8.67 	14.34 
	6.05 	14.82 	11.74 	4.53 	9.38 	11.61 			1.38 	2.32 	13.73 	9.07 
data13	13.85 	16.66 	10.19 	10.75 	13.24 	16.11 		data13	8.47 	2.92 	18.21 	12.68 
	5.61 	13.80 	0.53 	1.19 	12.40 	8.60 			14.25 	17.19 	18.63 	19.73 
	11.48 	1.55 	19.78 	0.01 	7.87 	11.87 			14.60 	18.06 	17.37 	19.60 
	6.13 	4.37 	8.25 	12.79 	12.59 	10.30 			7.79 	13.04 	5.07 	10.87 
	8.26 	9.62 	9.46 	7.77 	12.18 	11.97 			2.70 	6.25 	14.13 	10.10 
	19.96 	18.53 	17.62 	10.24 	4.34 	14.58 			18.81 	7.81 	12.23 	15.97 
	6.73 	11.51 	5.49 	14.72 	2.75 	10.48 			10.82 	7.68 	4.73 	9.33 
	16.05 	14.69 	2.51 	8.71 	3.80 	11.14 			10.85 	15.56 	19.32 	18.10 
	2.55 	5.65 	1.15 	16.81 	0.94 	10.65 			19.11 	15.29 	1.09 	12.12 
	10.29 	8.17 	4.65 	14.89 	15.15 	11.88 			8.70 	9.29 	10.67 	11.63 
data14	7.18 	4.48 	10.72 	9.77 	15.23 	11.83 		data14	9.55 	9.25 	1.04 	6.36 
	14.26 	9.06 	16.24 	7.72 	12.69 	14.38 			8.34 	16.58 	17.72 	15.63 
	11.32 	15.49 	13.21 	16.79 	8.54 	15.20 			14.04 	9.80 	16.58 	15.83 
	7.25 	6.56 	5.85 	5.58 	10.78 	9.81 			3.30 	0.89 	9.64 	6.31 
	2.06 	8.95 	16.21 	8.06 	3.64 	10.96 			9.76 	10.80 	3.58 	8.63 
	0.99 	16.90 	11.78 	14.16 	11.61 	10.73 			6.63 	9.61 	16.47 	13.86 
	15.90 	15.15 	6.48 	18.87 	5.98 	14.91 			9.58 	15.83 	3.51 	11.60 
	5.45 	6.43 	11.97 	14.96 	4.37 	11.59 			11.18 	11.23 	6.20 	10.46 
	1.31 	6.63 	4.56 	16.55 	6.52 	10.72 			6.29 	10.76 	16.25 	13.52 
	19.72 	13.67 	5.71 	18.18 	2.58 	13.38 			4.45 	4.74 	0.11 	2.91 
data15	3.40 	0.25 	3.64 	12.61 	4.71 	7.72 		data15	10.55 	4.35 	10.02 	8.94 
	16.01 	3.41 	17.99 	5.25 	7.74 	12.84 			4.02 	17.48 	10.00 	12.90 
	3.36 	5.61 	4.74 	1.64 	5.50 	4.35 			6.36 	14.03 	5.02 	11.43 
	14.80 	5.71 	17.42 	0.41 	17.41 	10.70 			15.63 	10.74 	0.65 	9.77 
	2.80 	9.37 	0.33 	8.83 	5.16 	5.82 			14.12 	10.78 	10.81 	14.94 
	19.96 	14.82 	5.78 	6.35 	7.91 	15.44 			18.16 	6.25 	19.13 	15.23 
	12.51 	6.28 	4.45 	4.50 	16.20 	12.39 			19.42 	14.70 	6.65 	15.64 
	5.99 	9.07 	19.14 	11.37 	19.55 	15.32 			7.07 	8.68 	16.58 	14.19 
	3.43 	12.67 	3.09 	13.51 	18.51 	12.96 			13.28 	9.89 	12.34 	13.90 
	7.27 	15.49 	2.76 	16.37 	15.82 	11.48 			5.19 	1.25 	5.70 	4.17 
data16	4.18 	1.98 	0.01 	10.23 	5.98 	6.15 		data16	12.11 	13.26 	15.33 	16.46 
	15.23 	15.82 	16.00 	15.96 	7.68 	14.21 			7.54 	12.31 	1.19 	8.10 
	6.44 	0.64 	7.18 	4.65 	2.07 	4.69 			3.25 	16.60 	16.02 	11.91 
	14.96 	13.68 	18.00 	12.83 	19.25 	19.24 			17.56 	4.83 	18.79 	14.17 
	5.25 	4.25 	3.44 	16.16 	15.80 	11.76 			16.89 	10.88 	1.47 	11.02 
	16.64 	14.66 	16.83 	5.69 	7.41 	13.51 			1.26 	5.61 	3.60 	4.12 
	18.94 	14.76 	15.20 	12.95 	14.44 	19.14 			10.63 	2.01 	11.77 	8.27 
	3.37 	18.11 	6.70 	16.39 	5.15 	12.89 			2.58 	14.35 	16.49 	11.44 
	14.98 	2.25 	2.85 	13.14 	0.22 	9.12 			6.99 	10.07 	16.60 	14.15 
	1.67 	14.63 	16.16 	17.06 	4.77 	11.24 			15.46 	15.49 	6.85 	13.40 
data17	18.75 	19.83 	12.79 	18.79 	13.86 	19.57 		data17	14.38 	0.54 	10.51 	8.95 
	4.25 	10.55 	14.67 	17.04 	9.71 	12.77 			15.15 	19.72 	15.16 	20.92 
	15.89 	14.83 	2.01 	7.25 	16.40 	11.05 			0.21 	8.27 	12.15 	7.42 
	13.34 	4.77 	1.03 	6.99 	1.60 	8.62 			16.98 	8.57 	6.12 	13.86 
	13.58 	8.47 	0.62 	18.71 	6.79 	11.60 			14.01 	11.49 	14.02 	15.30 
	1.00 	1.17 	5.70 	14.67 	4.24 	9.40 			4.25 	19.41 	8.68 	14.19 
	2.55 	13.78 	9.86 	9.46 	16.16 	11.23 			5.19 	0.93 	19.38 	12.18 
	17.05 	17.33 	18.62 	9.80 	14.81 	17.05 			4.40 	18.90 	9.50 	13.98 
	0.37 	15.76 	18.27 	13.79 	2.86 	11.18 			3.49 	1.53 	7.14 	5.20 
	4.94 	2.68 	15.93 	17.00 	12.62 	11.81 			1.03 	6.63 	16.61 	10.59 
data18	7.19 	14.77 	0.96 	7.09 	2.90 	9.44 		data18	17.11 	12.07 	6.16 	13.96 
	6.00 	19.24 	16.35 	15.73 	11.76 	15.15 			11.25 	7.43 	18.43 	15.51 
	6.39 	14.83 	11.87 	4.78 	11.03 	11.76 			17.59 	12.00 	12.25 	17.75 
	12.25 	14.08 	10.09 	11.80 	19.76 	17.91 			8.91 	16.07 	4.48 	12.33 
	6.89 	8.19 	9.80 	8.84 	4.52 	8.59 			7.11 	16.26 	18.10 	15.12 
	14.04 	11.45 	11.48 	13.12 	9.44 	14.09 			4.75 	11.26 	10.07 	9.61 
	15.71 	13.09 	3.63 	17.76 	7.91 	12.83 			15.39 	9.65 	0.98 	9.82 
	16.41 	16.69 	14.09 	11.90 	10.89 	16.55 			0.24 	4.42 	5.10 	3.21 
	0.88 	9.32 	12.26 	11.46 	14.81 	9.42 			7.77 	4.73 	11.95 	10.01 
	7.94 	10.28 	3.27 	15.94 	2.36 	10.98 			1.08 	13.59 	1.89 	8.80 
data19	6.61 	18.73 	7.89 	16.36 	16.61 	15.20 		data19	16.67 	15.23 	16.65 	19.14 
	18.75 	10.87 	9.12 	10.06 	13.88 	16.72 			4.38 	1.53 	7.00 	5.12 
	5.76 	13.32 	1.88 	16.67 	17.34 	11.53 			9.40 	15.66 	8.96 	14.77 
	19.30 	0.39 	7.98 	18.99 	15.52 	11.81 			5.95 	12.76 	14.06 	12.01 
	19.45 	12.46 	19.36 	17.97 	19.94 	19.44 			16.07 	15.18 	12.11 	16.91 
	0.87 	4.96 	12.97 	3.30 	5.18 	8.30 			18.61 	16.41 	14.07 	19.61 
	13.32 	4.91 	13.12 	11.66 	6.06 	10.94 			13.71 	16.48 	11.21 	16.61 
	14.74 	8.15 	7.65 	10.20 	1.29 	9.62 			0.58 	5.11 	17.29 	10.72 
	17.22 	1.59 	12.00 	6.15 	12.14 	11.28 			19.80 	12.05 	7.73 	16.52 
	10.39 	1.97 	7.07 	18.45 	4.36 	12.25 			17.53 	16.69 	16.01 	20.12 
data20	11.97 	14.30 	9.24 	0.86 	19.43 	12.18 		data20	17.11 	0.85 	14.96 	10.78 
	11.15 	10.84 	13.88 	5.23 	3.35 	10.34 			7.67 	17.14 	8.74 	14.88 
	20.00 	13.25 	2.72 	9.41 	9.64 	13.63 			3.77 	0.55 	16.74 	10.37 
	10.04 	10.91 	13.40 	2.88 	15.74 	11.17 			3.54 	7.42 	14.84 	11.03 
	19.56 	18.03 	14.14 	15.03 	11.90 	18.88 			1.88 	0.22 	13.68 	8.34 
	2.54 	7.35 	19.14 	13.68 	9.69 	13.01 			6.14 	5.94 	7.94 	8.33 
	16.99 	13.15 	16.13 	17.96 	16.65 	18.67 			2.25 	13.93 	10.59 	9.71 
	18.75 	19.59 	9.62 	1.02 	7.30 	12.37 			19.80 	18.25 	8.17 	16.78 
	18.16 	1.59 	19.10 	14.16 	14.13 	12.41 			16.59 	9.92 	9.56 	15.69 
	2.66 	12.72 	1.73 	10.47 	3.21 	8.67 			0.30 	16.08 	15.54 	9.83 
data21	8.46 	2.32 	8.27 	7.73 	0.92 	5.63 		data21	16.50 	5.87 	1.61 	10.87 
	13.01 	17.43 	6.75 	10.88 	1.84 	11.56 			5.10 	1.41 	1.14 	3.75 
	6.41 	13.16 	17.75 	1.81 	0.97 	11.24 			13.54 	8.33 	6.10 	11.78 
	6.81 	2.54 	8.87 	11.40 	17.62 	12.10 			5.58 	3.68 	11.65 	9.20 
	1.78 	19.50 	14.23 	1.13 	14.31 	12.38 			3.95 	8.79 	19.60 	14.13 
	16.12 	1.74 	7.62 	9.21 	0.45 	9.94 			3.36 	15.52 	17.80 	12.70 
	18.87 	14.61 	1.85 	19.39 	7.38 	12.74 			1.14 	2.35 	3.56 	2.82 
	10.59 	6.48 	17.28 	1.48 	8.04 	11.26 			0.43 	10.25 	9.83 	6.41 
	14.42 	2.46 	19.51 	12.50 	18.71 	13.18 			14.79 	15.16 	2.26 	10.45 
	10.41 	9.88 	6.66 	15.18 	11.72 	13.11 			17.84 	13.47 	12.74 	18.35 
data22	1.70 	0.85 	10.90 	6.10 	16.64 	10.49 		data22	5.27 	13.38 	7.43 	11.19 
	9.12 	19.33 	7.24 	11.43 	8.23 	15.94 			14.14 	14.50 	8.91 	14.05 
	16.76 	14.93 	10.07 	10.53 	16.35 	16.10 			4.66 	14.75 	7.61 	11.64 
	6.41 	19.93 	12.10 	4.84 	8.30 	14.86 			18.14 	4.57 	18.45 	13.82 
	12.02 	6.10 	13.78 	17.23 	9.04 	14.00 			13.06 	9.14 	12.38 	13.32 
	15.49 	19.23 	1.48 	2.27 	1.96 	12.43 			15.01 	12.97 	10.04 	15.03 
	12.77 	17.96 	4.72 	19.30 	9.30 	14.41 			0.82 	8.97 	10.82 	6.98 
	0.70 	14.96 	4.43 	15.13 	16.46 	10.30 			17.16 	0.57 	0.96 	10.64 
	12.57 	7.21 	0.33 	16.66 	17.78 	10.87 			6.87 	10.58 	8.11 	10.47 
	0.45 	13.76 	16.11 	15.56 	10.71 	9.94 			18.61 	17.52 	17.09 	21.42 
data23	12.62 	16.34 	5.08 	17.66 	2.92 	12.34 		data23	9.82 	16.84 	8.57 	15.25 
	5.94 	1.91 	0.86 	7.10 	11.83 	7.61 			3.56 	6.22 	18.47 	13.22 
	17.65 	14.90 	15.63 	19.16 	2.81 	13.18 			18.89 	18.80 	13.62 	19.51 
	18.97 	13.70 	2.63 	7.50 	7.70 	12.96 			3.02 	12.37 	18.53 	12.93 
	16.43 	0.22 	12.70 	17.93 	0.83 	10.89 			4.20 	5.31 	18.22 	13.46 
	3.30 	13.07 	11.57 	19.90 	3.53 	13.92 			15.00 	16.08 	6.53 	13.56 
	8.67 	5.27 	14.84 	12.62 	10.46 	12.07 			1.37 	14.34 	14.12 	9.42 
	17.41 	1.66 	9.66 	8.10 	5.78 	11.44 			3.88 	6.64 	18.54 	13.45 
	16.04 	5.63 	13.41 	11.71 	7.58 	13.00 			19.35 	5.35 	15.70 	14.82 
	19.09 	1.16 	11.81 	14.82 	7.11 	12.15 			1.90 	8.79 	3.29 	6.41 
data24	5.72 	10.80 	3.93 	10.18 	4.42 	8.83 		data24	15.14 	10.94 	8.15 	13.97 
	4.08 	1.92 	19.19 	8.73 	0.73 	11.95 			8.79 	11.55 	2.39 	8.36 
	12.61 	14.25 	14.25 	5.52 	17.43 	13.77 			19.98 	13.26 	0.66 	12.38 
	8.77 	0.66 	15.95 	5.11 	14.95 	9.96 			2.74 	12.66 	6.16 	9.24 
	2.56 	9.24 	3.64 	16.89 	16.48 	11.67 			10.77 	6.67 	13.77 	12.27 
	8.89 	0.82 	18.52 	17.36 	5.46 	11.60 			2.86 	0.58 	0.35 	1.92 
	3.48 	3.02 	17.38 	19.06 	15.93 	13.25 			9.99 	8.16 	10.61 	11.26 
	9.68 	17.14 	16.37 	13.38 	19.51 	17.51 			7.28 	7.95 	3.37 	6.79 
	7.66 	10.22 	14.17 	12.62 	0.87 	9.02 			9.64 	0.47 	16.53 	10.20 
	12.27 	7.43 	3.71 	4.67 	4.08 	9.59 			2.61 	5.13 	13.35 	9.57 
data25	8.44 	13.93 	2.88 	16.12 	16.52 	11.64 		data25	12.71 	12.28 	13.55 	15.50 
	9.04 	11.31 	0.87 	13.93 	4.39 	8.88 			6.39 	6.80 	17.01 	14.04 
	3.21 	18.19 	7.11 	13.49 	10.07 	12.84 			4.83 	11.87 	2.44 	8.58 
	9.30 	18.77 	16.25 	3.89 	11.21 	13.59 			17.37 	16.82 	11.64 	17.40 
	15.49 	10.91 	4.33 	5.07 	10.34 	11.89 			19.14 	12.30 	13.01 	18.86 
	11.03 	11.18 	4.31 	19.02 	6.93 	14.00 			17.14 	6.55 	16.37 	14.21 
	3.11 	4.43 	1.36 	10.06 	3.91 	6.85 			0.79 	15.40 	11.67 	9.71 
	4.48 	0.35 	1.78 	12.16 	12.45 	7.68 			19.78 	15.73 	14.67 	20.67 
	0.59 	14.07 	16.91 	8.68 	12.73 	10.50 			13.33 	18.81 	18.65 	19.28 
	7.83 	4.34 	1.31 	5.10 	1.51 	5.49 			16.74 	12.85 	19.23 	19.25 
data26	9.94 	0.04 	6.04 	6.34 	7.86 	5.99 		data26	7.93 	7.71 	5.40 	8.00 
	18.65 	18.13 	10.59 	12.68 	19.41 	18.00 			10.67 	16.15 	8.01 	14.50 
	15.39 	2.43 	6.53 	19.51 	7.22 	13.17 			3.30 	17.77 	18.80 	13.26 
	16.43 	5.71 	12.00 	10.08 	17.73 	14.07 			0.06 	13.75 	14.93 	8.99 
	2.99 	17.42 	1.86 	4.50 	15.18 	11.57 			6.00 	13.69 	11.02 	11.81 
	16.46 	11.62 	2.09 	14.83 	6.46 	11.13 			9.74 	9.01 	18.08 	16.26 
	14.16 	11.33 	5.44 	0.17 	1.95 	8.60 			6.10 	4.49 	19.04 	14.12 
	0.62 	11.76 	3.52 	17.69 	4.38 	10.98 			19.46 	4.49 	19.74 	14.53 
	4.84 	15.21 	11.87 	12.67 	10.78 	12.03 			18.07 	1.24 	10.81 	11.59 
	12.32 	16.83 	3.64 	8.93 	2.72 	11.73 			15.12 	11.66 	4.22 	11.60 
data27	8.48 	0.91 	7.76 	1.59 	7.64 	5.63 		data27	19.82 	19.48 	13.78 	20.16 
	10.18 	14.55 	17.40 	11.17 	2.96 	12.22 			6.05 	14.31 	4.24 	11.13 
	1.14 	16.12 	3.70 	15.90 	7.55 	10.36 			9.60 	2.52 	11.09 	8.17 
	7.20 	11.26 	1.31 	4.89 	16.92 	10.93 			1.55 	9.45 	8.75 	6.60 
	9.61 	5.26 	10.84 	18.88 	2.76 	12.98 			13.58 	13.17 	5.84 	11.65 
	19.59 	19.39 	13.81 	7.96 	1.03 	12.37 			17.89 	1.01 	3.16 	11.34 
	3.85 	10.29 	17.88 	9.94 	13.31 	13.03 			7.87 	7.01 	6.01 	8.33 
	8.64 	12.88 	5.70 	2.35 	8.35 	9.14 			3.05 	16.06 	8.79 	11.47 
	13.49 	6.85 	8.45 	10.22 	14.84 	13.01 			13.19 	3.58 	4.57 	10.06 
	12.25 	16.04 	13.26 	9.91 	1.54 	10.54 			12.07 	13.99 	6.81 	12.48 
data28	9.14 	5.70 	12.32 	17.48 	0.01 	10.50 		data28	15.73 	0.91 	7.18 	9.98 
	10.24 	11.94 	15.76 	19.46 	12.54 	17.83 			19.14 	7.23 	6.91 	15.63 
	11.59 	11.28 	19.62 	14.22 	8.73 	17.01 			15.72 	15.17 	1.35 	10.24 
	0.15 	19.67 	5.54 	19.63 	8.37 	11.90 			14.84 	11.41 	19.20 	18.37 
	3.71 	8.09 	10.01 	0.60 	13.82 	8.65 			15.94 	13.10 	17.77 	18.52 
	5.16 	1.91 	9.93 	10.16 	0.81 	6.58 			11.84 	13.95 	4.24 	10.92 
	10.22 	0.19 	12.45 	12.17 	6.83 	7.59 			4.69 	16.28 	12.62 	12.58 
	6.52 	3.70 	17.99 	0.87 	1.61 	11.32 			4.26 	3.68 	13.53 	10.33 
	17.75 	14.81 	18.51 	3.83 	2.86 	12.82 			7.69 	17.56 	6.91 	14.69 
	11.58 	15.23 	17.57 	7.44 	11.15 	15.01 			12.08 	6.93 	7.08 	11.40 
data29	6.90 	19.85 	12.09 	14.61 	1.41 	12.75 		data29	16.63 	18.09 	7.84 	15.56 
	9.46 	7.42 	13.13 	8.46 	7.29 	12.25 			14.16 	8.08 	13.03 	13.34 
	1.27 	14.06 	4.26 	7.34 	12.68 	9.20 			6.80 	8.09 	19.00 	15.48 
	3.57 	9.53 	14.63 	16.86 	3.65 	12.26 			7.96 	1.48 	0.25 	4.93 
	2.54 	11.34 	16.73 	12.65 	14.61 	11.56 			2.86 	14.21 	6.53 	10.24 
	5.38 	5.60 	4.43 	16.72 	11.27 	12.69 			8.05 	18.16 	13.66 	15.72 
	10.67 	6.80 	7.70 	13.08 	18.74 	15.32 			9.95 	6.46 	12.81 	11.56 
	18.00 	11.59 	18.71 	5.12 	10.80 	14.30 			13.86 	19.41 	1.06 	12.28 
	14.57 	5.26 	15.22 	8.66 	11.45 	12.29 			13.98 	1.23 	0.88 	8.91 
	8.48 	2.27 	11.22 	19.30 	4.53 	12.94 			16.28 	5.99 	17.34 	14.00 
data30	12.36 	1.68 	15.16 	18.16 	9.06 	11.90 		data30	3.97 	8.13 	18.01 	13.19 
	5.74 	1.36 	10.46 	7.41 	12.41 	8.26 			5.36 	0.29 	8.37 	5.19 
	16.06 	3.70 	13.27 	15.86 	10.91 	11.85 			8.89 	5.64 	12.21 	10.71 
	2.58 	11.98 	8.64 	8.53 	11.99 	8.74 			14.42 	4.27 	2.17 	9.96 
	13.05 	1.31 	14.06 	17.09 	1.03 	10.87 			5.03 	17.91 	3.70 	12.97 
	5.34 	9.53 	11.45 	10.89 	15.70 	12.63 			16.43 	11.20 	7.81 	14.54 
